rank,game_name,sales_millions,developer,release_year
1,Minecraft,350.0,Mojang Studios,2011.0
2,Grand Theft Auto V,215.0,Rockstar North,2013.0
3,Wii Sports [ a ],82.0,Nintendo EAD,2006.0
4,Mario Kart 8 / Deluxe,77.0,Nintendo EAD / Nintendo EPD (Deluxe),2014.0
5,Red Dead Redemption 2,77.0,Rockstar Games,2018.0
6,PUBG: Battlegrounds,75.0,PUBG Studios,2017.0
7,The Oregon Trail [ d ],65.0,Don Rawitsch Bill Heinemann Paul Dillenberger,1971.0
8,Terraria,64.0,Re-Logic,2011.0
9,The Witcher 3: Wild Hunt,60.0,CD Projekt Red,2015.0
10,Super Mario Bros.,58.0,Nintendo R&D4,1985.0
11,Human: Fall Flat,55.0,No Brakes Games,2016.0
12,Overwatch,50.0,Blizzard Entertainment,2016.0
14,Animal Crossing: New Horizons,48.0,Nintendo EPD,2020.0
15,Pokémon Red / Blue / Yellow,47.0,Game Freak,1996.0
16,Wii Fit / Plus,43.0,Nintendo EAD,2007.0
17,Call of Duty: Black Ops III,43.0,Treyarch,2015.0
18,Call of Duty: Modern Warfare,41.0,Infinity Ward,2019.0
20,Payday 2,40.0,Overkill Software,2013.0
22,Mario Kart Wii,37.0,Nintendo EAD,2008.0
23,Super Smash Bros. Ultimate,36.0,Bandai Namco Studios / Sora Ltd.,2018.0
24,Tetris (Game Boy),35.0,Nintendo R&D1,1989.0
25,The Legend of Zelda: Breath of the Wild,34.0,Nintendo EPD,2017.0
26,Hogwarts Legacy,34.0,Avalanche Software,2023.0
27,Wii Sports Resort,33.0,Nintendo EAD,2009.0
28,New Super Mario Bros.,30.0,Nintendo EAD,2006.0
29,New Super Mario Bros. Wii,30.0,Nintendo EAD,2009.0
30,Pokémon Gold / Silver / Crystal,30.0,Game Freak,1999.0
31,Elden Ring,30.0,FromSoftware,2022.0
36,Super Mario Odyssey,29.0,Nintendo EPD,2017.0
37,Monster Hunter: World,28.0,Capcom,2018.0
38,Duck Hunt,28.0,Nintendo R&D1,1984.0
39,Wii Play,28.0,Nintendo EAD,2006.0
40,Black Myth: Wukong,28.0,Game Science,2024.0
