name,rating,ratings_count,released,metacritic,genres,playtime,platforms,release_year
Winter Memories,4.83,6,2024-01-05,89.5,"Casual, Adventure, RPG, Simulation",6,PC,2024
Sonic Triple Trouble 16-Bit (NoahNCopeland),4.83,6,2022-08-02,89.5,"Indie, Platformer, Adventure, Action",0,PC,2022
No Case Should Remain Unsolved,4.83,6,2024-01-17,89.5,"Indie, Adventure",3,"PC, Nintendo Switch, macOS",2024
Hellversus,4.78,8,2022-01-30,89.5,"Action, Fighting",0,Web,2022
Persona 5 Royal,4.76,509,2020-03-31,94.0,"Adventure, RPG",13,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",2020
FNaF: Running in the 80's - FNaF Fan-Game,4.71,5,2020-08-13,89.5,,0,PC,2020
Geometry Dash RazorLeaf,4.71,6,2023-07-19,89.5,"Casual, Indie, Arcade",0,"PC, Android",2023
Cyberpunk 2077: Phantom Liberty,4.7,390,2023-09-26,89.5,"Shooter, Action",0,"PC, PlayStation 5, Xbox Series S/X",2023
The Binding of Isaac: Repentance,4.68,121,2021-03-31,89.5,Action,0,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",2021
Outlast Mobile Demo,4.67,6,2021-09-11,89.5,,0,Android,2021
Red Matter 2,4.67,6,2022-08-18,89.5,"Indie, Adventure, Action",2,PC,2022
Athanasy,4.67,6,2022-04-13,89.5,"Casual, Indie",7,"PC, macOS, Linux",2022
Death Palette,4.67,5,2020-02-19,89.5,"Adventure, Puzzle",0,iOS,2020
Shoot Shoot My Waifu,4.67,9,2020-10-12,89.5,"Casual, Indie, Adventure, Action",2,"PC, macOS, Linux",2020
siren head simulator (mr bonnie),4.67,6,2020-07-06,89.5,Simulation,0,"PC, Linux",2020
One Night at Flumpty's,4.67,6,2020-11-18,89.5,"Strategy, Puzzle",0,iOS,2020
ARK: Survival Ascended,4.67,6,2023-10-25,89.5,"Adventure, Action, RPG, Indie, Massively Multiplayer",17,PC,2023
The Last of Us Part I,4.66,515,2022-09-02,89.5,"Shooter, Adventure, Action",13,"PC, PlayStation 5",2022
Disco Elysium: Final Cut,4.66,639,2021-03-30,90.0,"Adventure, RPG",5,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS, macOS",2021
Resident Evil 4,4.61,554,2023-03-24,89.5,"Adventure, Action",24,"PC, PlayStation 5, PlayStation 4, Xbox Series S/X, iOS",2023
Desert Stalker (2022),4.6,10,2022-04-17,89.5,Casual,0,PC,2022
Ghost of Tsushima Director's Cut,4.59,302,2021-08-20,89.5,"Adventure, Action, RPG",4,"PC, PlayStation 5, PlayStation 4",2021
Deltarune: Chapter 2,4.59,43,2021-09-17,89.5,"Indie, Adventure, Action, RPG",0,"PC, PlayStation 4, Nintendo Switch, macOS",2021
FNAF SANDBOX,4.58,10,2022-04-02,89.5,Simulation,0,PC,2022
What a Legend!,4.58,11,2021-09-25,89.5,Casual,0,PC,2021
Lil' Guardsman,4.57,7,2024-01-23,89.5,"Casual, Indie, Adventure",6,"PC, macOS",2024
Mass Effect: Legendary Edition,4.57,557,2021-05-14,88.0,"Shooter, Adventure, Action, RPG",12,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",2021
Outer Wilds - Echoes of the Eye,4.56,112,2021-09-28,89.5,Adventure,0,"PC, Xbox One, PlayStation 4, Nintendo Switch",2021
shapez,4.56,9,2020-06-06,89.5,Puzzle,0,"PC, iOS, Android, Linux",2020
The Citadel,4.56,9,2020-08-04,89.5,"Casual, Indie, Action",2,PC,2020
I Am Your Beast,4.55,11,2024-09-10,89.5,Action,5,PC,2024
Octopath Traveler 2,4.55,22,2023-02-24,89.5,Strategy,0,"PC, PlayStation 5, PlayStation 4, Nintendo Switch",2023
Beyond Good & Evil - 20th Anniversary Edition,4.55,11,2024-06-24,89.5,"Adventure, Action",2,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",2024
HYPER DEMON,4.55,11,2022-09-19,89.5,"Shooter, Indie, Action",1,PC,2022
Tyl3R5,4.55,10,2021-08-05,89.5,,0,PC,2021
Minishoot' Adventures,4.54,12,2024-04-02,89.5,"Casual, Adventure, Action, RPG",10,"PC, macOS",2024
Unicorn Overlord,4.52,18,2024-03-08,89.5,"Strategy, RPG",0,"PlayStation 5, PlayStation 4, Xbox Series S/X, Nintendo Switch",2024
Elden Ring: Shadow of the Erdtree,4.51,104,2024-06-21,89.5,"Action, RPG",0,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",2024
Cuphead: The Delicious Last Course,4.51,117,2022-06-30,89.0,Platformer,0,"PC, Xbox One, PlayStation 4, Nintendo Switch",2022
Welcome to Elk,4.5,6,2020-09-16,89.5,Indie,0,"PC, Xbox One, Nintendo Switch, macOS",2020
